Date,Tournament,Location,Country,Category,Surface,Winner,Runner Up,Winner ATP Ranking (Current),Runner Up ATP Ranking (Current),Result,Points , Prize Money 
2024-01-07,Brisbane International,Brisbane,Australia,ATP 250,Hard,Grigor Dimitrov,Holger Rune,10,13,7-6(5) 6-4,250,661585
2024-01-07,Bank of China Hong Kong Tennis Open,Hong Kong,China,ATP 250,Hard,Andrey Rublev,Emil Ruusuvuori,8,37,6-4 6-4,250,661585
2024-01-13,Adelaide International,Adelaide,Australia,ATP 250,Hard,Ji?í Lehe?ka,Jack Draper,28,15,4-6 6-4 6-3,250,661585
2024-01-13,ASB Classic,Auckland,New Zealand,ATP 250,Hard,Alejandro Tabilo ,Taro Daniel,23,84,6-2 7-5,250,661585
2024-01-28,Australian Open,Melbourne,Australia,Grand Slam,Hard,Jannik Sinner,Danil Medvedev,1,5,3-6 3-6 6-4 6-4 6-4,2000,38923200
2024-02-04,Open Occitanie,Montpellier,France,ATP 250,Hard,Alexander Bublik,Borna Coric,33,90,5-7 6-2 6-3,250,579320
2024-02-11,Dallas Open,Dallas,United States,ATP 250,Hard,Tommy Paul,Marcos Giron,12,46,7-6(3) 5-7 6-3,250,756020
2024-02-11,Open 13 Provence,Marseille,France,ATP 250,Hard,Ugo Humbert,Grigor Dimitrov,14,10,6-4 6-3,250,724015
2024-02-11,Córdoba Open,Córdoba,Argentina,ATP 250,Clay,Luciano Darderi,Facundo Bagnis,44,144,6-1 6-4,250,562345
2024-02-18,ABN AMRO Open,Rotterdam,Netherlands,ATP 500,Hard,Jannik Sinner,Alex de Minaur,1,9,7-5 6-4,500,2134985
2024-02-18,Delray Beach Open,Delray Beach,United States,ATP 250,Hard,Taylor Fritz,Tommy Paul,4,12,6-2 6-3 ,250,661585
2024-02-18,Argentina Open,Buenos Aires,Argentina,ATP 250,Clay,Facundo Diaz Acosta,Nicolas Jarry,79,35,6-3 6-4 ,250,642615
2024-02-25,Rio Open,Rio de Janeiro,Brazil,ATP 500,Clay,Sebastian Baez,Mariano Navone,27,47, 6-2 6-1,500,2100230
2024-02-24,Qatar ExxonMobil Open,Doha,Qatar,ATP 250,Hard,Karen Khachanov,Jakub Mensik,19,48,7-6(12) 6-4,250,1395875
2024-02-24,Mifel Tennis Open,Los Cabos,Mexico,ATP 250,Hard,Jordan Thompson,Casper Ruud,26,6,6-3 7-6(4),250,915245
2024-03-02,Dubai Duty Free Tennis Championships,Dubai,United Arab Emirates,ATP 500,Hard,Ugo Humbert,Alexander Bublik,14,33, 6-4 6-3,500,2941785
2024-03-02,Abierto Mexicano Telcel,Acapulco,Mexico,ATP 500,Hard,Alex de Minaur,Casper Ruud,9,6,6-4 6-4,500,2206080
2024-03-02,Movistar Chile Open,Santiago,Chile,ATP 250,Clay,Sebastian Baez,Alejandro Tabilo ,27,23,3-6 6-0 6-4,250,661585
2024-03-17,BNP Paribas Open,Indian Wells,United States,ATP Masters 1000,Hard,Carlos Alcaraz,Danil Medvedev,3,5, 7-6(5) 6-1 ,1000,9495555
2024-03-17,Miami Open,Miami,United States,ATP Masters 1000,Hard,Carlos Alcaraz,Danil Medvedev,3,5, 7-6(5) 6-1 ,1000,8995555
2024-04-07,Fayez Sarofim & Co. U.S. Men's Clay Court Championship,Houston,United States,ATP 250,Clay,Ben Shelton,Frances Tiafoe,21,18,7-5 4-6 6-3,250,661585
2024-04-07,Grand Prix Hassan II,Marrakech,Morocco,ATP 250,Clay,Mateo Berrettini,Roberto Carballes Baena,34,57, 7-5 6-2,250,579320
2024-04-07,Millennium Estoril Open,Estoril,Portugal,ATP 250,Clay,Hubert Hurkacz,Pedro Martinez,16,43,6-3 6-4,250,579320
2024-04-14,Rolex Monte-Carlo Masters,Monte-Carlo,Monaco,ATP Masters 1000,Clay,Stefanos Tsitsipas,Casper Ruud,11,6,6–1 6–4,1000,5950575
2024-04-21,Barcelona Open,Barcelona,Spain,ATP 500,Clay,Casper Ruud,Stefanos Tsitsipas,6,10,7–5 6–3,500,2782960
2024-04-21,Romanian Open,Bucharest,Romania,ATP 250,Clay,Márton Fucsovics,Mariano Navone,104,47,6–4 7–5,250,579320
2024-04-21,BMW Open,Munich,Germany,ATP 250,Clay,Jan-Lennard Struff,Taylor Fritz,42,4,7–5 6–3,250,579320
2024-05-05,Madrid Open,Madrid,Spain,ATP Masters 1000,Clay,Andrey Rublev,Félix Auger-Aliassime,8,29,4–6 7–5 7–5,1000,7877020
2024-05-19,Italian Open,Rome,Italy,ATP Masters 1000,Clay,Alexander Zverev,Nicolás Jarry,2,35,6–4 7–5,1000,7877020
2024-05-25,Geneva Open,Geneva,Switzerland,ATP 250,Clay,Casper Ruud,Tomáš Machá?,6,25,7–5 6–3,250,579320
2024-05-25,Lyon Open,Lyon,France,ATP 250,Clay,Giovanni Mpetshi Perricard,Tomás Martín Etcheverry,31,39,6–4 1–6 7–6(9–7),250,579320
2024-06-09,French Open,Paris,France,Grand Slam,Clay,Carlos Alcaraz,Alexander Zverev,3,2,6–3 2–6 5–7 6–1 6–2,2000,24961000
2024-06-16,Stuttgart Open,Stuttgart,Germany,ATP 250,Grass,Jack Draper,Matteo Berrettini,15,34,3–6 7–6(7–5) 6–4,250,734915
2024-06-16,LIBEMA Open,'s-Hertogenbosch,Netherlands,ATP 250,Grass,Alex de Minaur,Sebastian Korda,9,22,6–2 6–4,250,690135
2024-06-23,Halle Open,Halle,Germany,ATP 500,Grass,Jannik Sinner,Hubert Hurkacz,1,16,7–6(10–8) 7–6(7–2),500,2255655
2024-06-23,Queen's Club Championships,London,Great Britain,ATP 500,Grass,Tommy Paul,Lorenzo Musetti,12,17,6–1 7–6(10–8),500,2255655
2024-06-29,Mallorca Championships,Mallorca,Spain,ATP 250,Grass,Alejandro Tabilo,Sebastian Ofner,23,88,6–3 6–4,250,932135
2024-06-29,Eastbourne International,Eastbourne,Great Britain,ATP 250,Grass,Taylor Fritz,Max Purcell,4,105,6–4 6–3,250,740160
2024-07-14,Wimbledon,London,Great Britain,Grand Slam,Grass,Carlos Alcaraz,Novak Djokovic,3,7,6–2 6–2 7–6(7–4),2000,20747000
2024-07-21,Hamburg Open,Hamburg,Germany,ATP 500,Clay,Arthur Fils,Alexander Zverev,20,2,6–3 3–6 7–6(7–1),500,1891995
2024-07-21,Hall of Fame Open,Newport,United States,ATP 250,Grass,Marcos Giron,Alex Michelsen,46,41,6–7(4–7) 6–3 7–5,250,661585
2024-07-21,Swedish Open,Båstad,Sweden,ATP 250,Clay,Nuno Borges,Rafael Nadal,36,153,6–3 6–2,250,579320
2024-07-21,Swiss Open,Gstaad,Switzerland,ATP 250,Clay,Matteo Berrettini,Quentin Halys,34,72,6–3 6–1,250,579320
2024-07-27,Austrian Open,Kitzbühel,Austria,ATP 250,Clay,Matteo Berrettini,Hugo Gaston,34,76,7–5 6–3,250,579320
2024-07-27,Croatia Open,Umag,Croatia,ATP 250,Clay,Francisco Cerúndolo,Lorenzo Musetti,30,17,2–6 6–4 7–6(7–5),250,579320
2024-07-28,Atlanta Open,Atlanta,United States,ATP 250,Hard,Yoshihito Nishioka,Jordan Thompson,69,26,4–6 7–6(7–2) 6–2,250,756020
2024-08-04,Washington Open,Washington,United States,ATP 500,Hard,Sebastian Korda,Flavio Cobolli,22,32,4–6 6–2 6–0,500,2100230
2024-08-12,Canadian Open,Montreal,Canada,ATP Masters 1000,Hard,Alexei Popyrin,Andrey Rublev,24,8,6–2 6–4,1000,6795555
2024-08-19,Cincinnati Open,Cincinnati,United States,ATP Masters 1000,Hard,Jannik Sinner,Frances Tiafoe,1,18,7–6(7–4) 6–2,1000,6795555
2024-08-24,Winston-Salem Open,Winston-Salem,United States,ATP 250,Hard,Lorenzo Sonego,Alex Michelsen,53,41,6–0 6–3,250,779780
2024-09-08,US Open,New York City,United States,Grand Slam,Hard,Jannik Sinner,Taylor Fritz,1,4,6–3 6–4 7–5,2000,33977000
2024-09-24,Chengdu Open,Chengdu,China,ATP 250,Hard,Shang Juncheng,Lorenzo Musetti,50,17,7–6(7–4) 6–1,250,1171655
2024-09-24,Hangzhou Open,Hangzhou,China,ATP 250,Hard,Marin ?ili?,Zhang Zhizhen,180,45,7–6(7–5) 7–6(7–5),250,1000630
2024-10-02,China Open,Beijing,China,ATP 500,Hard,Carlos Alcaraz,Jannik Sinner,3,1,6–7(6–8) 6–4 7–6(7–3),500,695750
2024-10-01,Japan Open,Tokyo,Japan,ATP 500,Hard,Arthur Fils,Ugo Humbert,20,14,5–7 7–6(8–6) 6–3,500,340010
2024-10-13,Shanghai Masters,Shanghai,China,ATP Masters 1000,Hard,Jannik Sinner,Novak Djokovic,1,7,7–6(7–4) 6–3,1000,8995555
2024-10-20,Almaty Open,Almaty,Kazakhstan,ATP 250,Hard,Karen Khachanov,Gabriel Diallo,19,87,6–2 5–7 6–3,250,1036700
2024-10-20,European Open,Antwerp,Belgium,ATP 250,Hard,Roberto Bautista Agut,Ji?í Lehe?ka,51,28,7–5 6–1,250,690135
2024-10-20,Stockholm Open,Stockholm,Sweden,ATP 250,Hard,Tommy Paul,Grigor Dimitrov,12,10,6–4 6–3,250,690135
2024-10-27,Swiss Indoors,Basel,Switzerland,ATP 500,Hard,Giovanni Mpetshi Perricard,Ben Shelton,31,21,6–4 7–6(7–4),500,2385100
2024-10-27,Vienna Open,Vienna,Austria,ATP 500,Hard,Jack Draper,Karen Khachanov,15,19,6–4 7–5,500,2470310
2024-11-03,Paris Masters,Paris,France,ATP Masters 1000,Hard,Alexander Zverev,Ugo Humbert,2,14,6–2 6–2,1000,5950575
2024-11-09,Belgrade Open,Belgrade,Serbia,ATP 250,Hard,Denis Shapovalov,Hamad Medjedovic,56,114,6–4 6–4,250,750000
2024-11-09,Moselle Open,Metz,France,ATP 250,Hard,Benjamin Bonzi,Cameron Norrie,75,49,7–6(8–6) 6–4,250,579320
2024-11-17,ATP Finals,Turin,Italy,ATP Finals,Hard,Jannik Sinner,Taylor Fritz,1,4,6–4 6–4,1500,15250000
